"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"MTMR11","1556034_s_at","MTMR11",0.117839935712349,1.60433957142222,0.176283709930148,3.31199985745455,0.113908949135502,33,0.386952729412779
"FN3K","219744_at","FN3K",0.117864047253008,-1.60423041165583,-0.0674793584632343,2.13315546912121,0.0436059908290674,33,0.386952729412779
"PTPN3","203997_at","PTPN3",0.117881057621556,1.604153411911,0.177279226963234,2.818905233,0.114565514314068,33,0.386952729412779
"ZFAND4","223624_at","ZFAND4",0.11790079914817,1.60406406062029,0.0847009173749993,2.37837382854545,0.0547404501917391,33,0.386952729412779
"TMTC4","225666_at","TMTC4",0.11791907184832,1.60398136824575,0.101872411088235,2.89972696042424,0.0658414254939578,33,0.386952729412779
"PLA2G5","215871_at","PLA2G5",0.117940567111168,-1.60388410572989,-0.0482531558529415,2.11425864415152,0.0311885150711539,33,0.386952729412779
"MPV17L","1559167_x_at","MPV17L",0.117950439441871,-1.60383943992979,-0.0540271148529414,2.91400871542424,0.0349214964872305,33,0.386952729412779
"CEP95","225705_at","CEP95",0.11798694107785,1.60367432063821,0.0863988506654407,2.83514716251515,0.0558513595657264,33,0.386952729412779
"DNAJC11","215792_s_at","DNAJC11",0.117988261034535,-1.60366835044845,-0.061283698080882,3.16274512045455,0.0396161589315316,33,0.386952729412779
"MAP1LC3A","232011_s_at","MAP1LC3A",0.117989509696573,-1.60366270277612,-0.0813966444595597,2.95264291709091,0.052618132727687,33,0.386952729412779
"BCORL1","233572_s_at","BCORL1",0.117993012386005,-1.60364686044629,-0.0826119768676472,2.41886125269697,0.0534043010645245,33,0.386952729412779
"CFAP210","236909_at","CFAP210",0.118004224752774,-1.60359615057241,-0.0561956587279409,1.99173991363636,0.0363286885664098,33,0.386952729412779
"SYT6","244227_at","SYT6",0.118006012587832,-1.60358806514308,-0.0590985564080895,2.26135706606061,0.0382055113205691,33,0.386952729412779
"AUH","205052_at","AUH",0.118015292831009,-1.60354609713962,-0.119818871643383,3.60611189766667,0.0774614701923983,33,0.386952729412779
"CDK19","212897_at","CDK19",0.118037487916358,-1.60344573536527,-0.101739199125,2.99580333454545,0.0657772945630066,33,0.386952729412779
"DEFA1B|DEFA3|DEFA1","205033_s_at","DEFA1B|DEFA3|DEFA1",0.118040499836668,-1.60343211725022,-0.0905034530955873,2.25550675263636,0.058513561188771,33,0.386952729412779
"NEUROD1","206282_at","NEUROD1",0.118064933233933,-1.60332165445666,-0.0373986363419121,2.08367381163636,0.0241811565038586,33,0.386972085780084
"OR1F1","221402_at","OR1F1",0.118090148290353,1.60320767743372,0.0459078255404419,2.34358104069697,0.0296851260769477,33,0.386993997653229
"RRAGC","222514_at","RRAGC",0.118138992006393,-1.60298695091161,-0.0993227958897069,3.46973669933333,0.064233399661405,33,0.38709332413767
"LCN10","238071_at","LCN10",0.118171907407544,-1.60283824717781,-0.0844249733897064,2.38432799566667,0.0546038411403917,33,0.387140437052009
"ZNF284","239462_at","ZNF284",0.118237247453708,1.60254315731505,0.0707629573639705,2.69551223051515,0.0457760378881754,33,0.387292597388532
"C7orf25","53202_at","C7orf25",0.118255441395579,-1.60246101328927,-0.0706395175698535,2.76004590718182,0.0456985280310332,33,0.387292597388532
"DTNB","214253_s_at","DTNB",0.118306086286057,-1.60223241061845,-0.0765907368970598,2.35521336509091,0.049555594955939,33,0.387393578964315
"CRAT37","1570391_at","CRAT37",0.118369683511067,1.60194545673491,0.0437399007242643,1.97572463281818,0.0283055779648962,33,0.387393578964315
"HSPA4","208814_at","HSPA4",0.118369841676117,-1.60194474324365,-0.125979458779412,2.90044563718182,0.0815256304115494,33,0.387393578964315
"H3-3B","211999_at","H3-3B",0.118374109487192,1.60192549120728,0.0797220929742632,4.09947808742424,0.0515915218284905,33,0.387393578964315
"PIGF","205078_at","PIGF",0.118379019437408,-1.60190334319332,-0.0912963254595587,3.14363207742424,0.059082511690786,33,0.387393578964315
"ZC3H14","242443_at","ZC3H14",0.118519121284616,1.60127168252814,0.0873487470514704,2.43959459851515,0.0565501310125147,33,0.387735203806707
"BRD9","220155_s_at","BRD9",0.118527934474187,1.60123196798528,0.117568094216911,3.28322199018182,0.0761162152227259,33,0.387735203806707
"PGK2","217009_at","PGK2",0.11853910827416,-1.60118161938908,-0.0515226942867644,2.24505179284848,0.0333579941921009,33,0.387735203806707
"TTC12","219587_at","TTC12",0.118558430353492,-1.60109456421397,-0.107615395911765,2.43402833924242,0.0696785948207478,33,0.387737678974739
"KIAA1143","226816_s_at","KIAA1143",0.118616255751332,-1.60083410262757,-0.0866027684779418,3.46873882872727,0.0560825054481895,33,0.387866056265316
"ZNF232-AS1","236075_s_at","ZNF232-AS1",0.118658304059135,-1.60064477069515,-0.16773806727206,2.68073000612121,0.108637217519392,33,0.387907321231598
"KCNN3","231103_at","KCNN3",0.118666022281479,-1.60061002363579,-0.0492215406911765,2.22484375048485,0.0318795094760996,33,0.387907321231598
"SCN3B","204722_at","SCN3B",0.118791309875127,-1.60004624364519,-0.109412003636029,2.22037093336364,0.0708882729579508,33,0.388256104341475
"MAPK9","203218_at","MAPK9",0.118840993034725,-1.59982280983481,-0.108696843595589,3.31126563045455,0.0704347548832226,33,0.388357712334569
"SYCP1","206740_x_at","SYCP1",0.118932243996594,-1.59941263749798,-0.0567460327573528,2.14743208712121,0.0367804416964667,33,0.38859510573668
"TEX10","218104_at","TEX10",0.119111302584675,1.59860851866923,0.0774419268124995,3.01153460912121,0.0502199164962579,33,0.38898838600173
"CCDC51","218722_s_at","CCDC51",0.119112445672223,-1.5986033884546,-0.0799905019742639,3.27839390627273,0.0518727953533295,33,0.38898838600173
"CABP4","1552890_a_at","CABP4",0.119116376281995,-1.59858574805571,-0.0519338554485294,2.11256409530303,0.0336787983184756,33,0.38898838600173
"TUSC2","203273_s_at","TUSC2",0.119156461520801,-1.59840587451338,-0.0974079859522052,2.99646372263636,0.0631756117350002,33,0.38898838600173
"FAM168A","36612_at","FAM168A",0.119161662454152,1.59838254011791,0.088732370724264,2.80605547590909,0.057549733555863,33,0.38898838600173
"HEXB","201944_at","HEXB",0.119164361677715,1.59837043016818,0.0603197367022053,3.93366877581818,0.0391222622337048,33,0.38898838600173
"MIR497HG","230353_at","MIR497HG",0.119202965460917,-1.59819726052309,-0.106653521338234,2.55856915863636,0.0691809905740866,33,0.38905359175672
"POLL","221049_s_at","POLL",0.119266061835039,1.59791432028865,0.0630099241102946,2.706953461,0.0408787330078831,33,0.389172349977076
"BLCAP","201032_at","BLCAP",0.119276620167741,-1.59786698599577,-0.0868766042132347,3.83443459833333,0.0563643071025213,33,0.389172349977076
"IGFBP5","211958_at","IGFBP5",0.119404829847824,1.59729247977767,0.159324760110294,2.61149753969697,0.103404820591494,33,0.389417385941966
"CYP2A7|CYP2A6","1494_f_at","CYP2A7|CYP2A6",0.119444108993193,-1.59711657134705,-0.0763920589705886,2.55640515857576,0.0495853700745442,33,0.389417385941966
"MRPS18A","218385_at","MRPS18A",0.119464309613061,1.59702612295625,0.121920756172794,2.82565661733333,0.0791421030568534,33,0.389417385941966
"DIAPH1","215541_s_at","DIAPH1",0.119478363309601,-1.59696320483023,-0.0708547952720595,2.94815623248485,0.0459956008891335,33,0.389417385941966
"GGCT","215380_s_at","GGCT",0.119479957913695,-1.59695606620121,-0.0781254485772056,3.63215715460606,0.0507155937913896,33,0.389417385941966
"AMDHD2","227841_at","AMDHD2",0.119481532557662,-1.59694901700499,-0.144160713253677,2.52210619645455,0.0935831867851679,33,0.389417385941966
"NDUFB10","228301_x_at","NDUFB10",0.119482241279201,-1.59694584430167,-0.0904260225110294,3.46629977918182,0.0587009593413295,33,0.389417385941966
"LINC00347","237980_at","LINC00347",0.119506457978431,1.59683744369284,0.038756072415441,2.08052593136364,0.0251606009702784,33,0.389435539847017
"RAB3C","242328_at","RAB3C",0.119543611674301,-1.59667116845773,-0.10178571980147,2.33227026484848,0.0660865876980397,33,0.389495839285144
"FSD2","237222_at","FSD2",0.119624231039149,-1.59631051513654,-0.0489384300036768,2.39324349069697,0.0317815165741622,33,0.38964847051021
"LINC02907","1553919_at","LINC02907",0.119636887257564,-1.59625391519478,-0.0591448506617649,2.12932935281818,0.0384111158096524,33,0.38964847051021
"CCT8","200873_s_at","CCT8",0.119646427645773,1.59621125281144,0.0539588105625004,4.14633024245455,0.0350440231688639,33,0.38964847051021
"GOLT1A","229372_at","GOLT1A",0.119713657778073,-1.59591069426439,-0.117171292738971,1.94853674657576,0.0761122561507613,33,0.38980663278688
"PCK2","202847_at","PCK2",0.119745014839826,1.59577055682212,0.149577634150736,2.92382429630303,0.0971713354015437,33,0.389847955561929
"CST3","201360_at","CST3",0.119895994141082,-1.59509623703557,-0.112589250492646,4.24453108239394,0.0731731913642385,33,0.390237005834575
"TIMM23B|TIMM23B-AGAP6|BMS1P4-AGAP5|PARGP1|PARGP1-AGAP4|BMS1P4|BMS1P2","223766_at","TIMM23B|TIMM23B-AGAP6|BMS1P4-AGAP5|PARGP1|PARGP1-AGAP4|BMS1P4|BMS1P2",0.119901884914554,1.5950699411175,0.079202489404413,2.68467910854545,0.0514755576707154,33,0.390237005834575
"ETV3","214480_at","ETV3",0.119936362889506,-1.59491605551789,-0.053590241113971,1.8943030490303,0.0348329166207997,33,0.390288398090889
"SOX17","230943_at","SOX17",0.120025437600519,-1.59451865561806,-0.0927387465294114,2.34057960321212,0.060293927720202,33,0.39051741147949
"EPB41L4B","223427_s_at","EPB41L4B",0.120073040879089,1.59430637616422,0.172012709235295,2.94359884478788,0.111848641171046,33,0.390611442174421
"USP46-DT","235667_at","USP46-DT",0.120119286789221,-1.59410021557552,-0.0583157383382358,2.35686077078788,0.03792382355141,33,0.39064890157589
"DUSP18","1553701_a_at","DUSP18",0.120131017744228,-1.59404793023085,-0.0790304115514711,2.12007535712121,0.0513966516655624,33,0.39064890157589
"ZFY-AS1","237225_at","ZFY-AS1",0.120140670089631,1.5940049124645,0.0411122961397039,2.11784716527273,0.0267376994160986,33,0.39064890157589
"ECT2","219787_s_at","ECT2",0.12020231576896,1.5937302417881,0.154097182944852,3.07828105021212,0.100235565512058,33,0.390788506356588
"TREML4|TREML3P","1567559_s_at","TREML4|TREML3P",0.120246951438271,-1.59353143339394,-0.0906645460294122,2.14296220324242,0.0589819077905213,33,0.390872775219967
"TIPARP","212665_at","TIPARP",0.120345644414733,-1.59309206648592,-0.105881220889707,3.11608842175758,0.0689001273596562,33,0.391117754935425
"FEM1A","230853_at","FEM1A",0.120376129095969,1.59295641262377,0.119132432389706,2.25270722142424,0.0775296950408566,33,0.391117754935425
"PEX19","201707_at","PEX19",0.120378497903994,-1.59294587283473,-0.0713999360514701,3.08477641463636,0.0464663717812384,33,0.391117754935425
"HGFAC","207027_at","HGFAC",0.120422950547507,1.59274811640531,0.0793360198676467,2.14831254109091,0.0516375071339282,33,0.391135879083997
"RABGAP1","213313_at","RABGAP1",0.120429392588602,1.59271946265444,0.0864547511654408,3.56449710524242,0.0562718945625565,33,0.391135879083997
"KIF20A","218755_at","KIF20A",0.120440260396897,1.59267112623845,0.181611836621323,2.88806832124242,0.118211574756051,33,0.391135879083997
"MLST8","220587_s_at","MLST8",0.120490756391018,-1.59244658351822,-0.0964145284522062,3.04777492127273,0.0627652939720732,33,0.391170506001994
"FTCDNL1","1556667_at","FTCDNL1",0.120515553369041,-1.59233634588356,-0.103174434356617,2.25168753087879,0.0671706030755482,33,0.391170506001994
"DHCR7","201791_s_at","DHCR7",0.120530168030095,1.59227138351807,0.232984384694852,3.5402531319697,0.151688160055198,33,0.391170506001994
"VBP1","201472_at","VBP1",0.120541324309498,-1.59222179803876,-0.0827798262977937,3.76845938112121,0.053896790562228,33,0.391170506001994
"DIPK1A","213689_x_at","DIPK1A",0.12056841830024,-1.5921013910225,-0.145280480110294,2.77179072142424,0.094597248340631,33,0.391170506001994
"SULT1E1","219934_s_at","SULT1E1",0.120579845191636,1.59205061599017,0.0809047423786766,2.18233220518182,0.0526816134457847,33,0.391170506001994
"NAPSB","228055_at","NAPSB",0.120594794213424,-1.59198419641985,-0.164651230882353,2.53242435693939,0.107218120194927,33,0.391170506001994
"MEGF11","1569879_a_at","MEGF11",0.120600760744402,-1.59195768857594,-0.0531658006433822,2.54904732918182,0.0346212542109067,33,0.391170506001994
"MMP14","160020_at","MMP14",0.120650642705746,1.59173611709916,0.0909122807132348,2.9943816570303,0.0592097791918305,33,0.391223115749356
"ELOA2","220844_at","ELOA2",0.120654445225837,1.59171922969611,0.0580856406801473,2.14418907724242,0.0378306915262223,33,0.391223115749356
"SHB","1557458_s_at","SHB",0.120678100122533,1.59161418550928,0.149647849558824,2.50638892793939,0.0974708241857884,33,0.391239074985888
