"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"HDHD2","16855056","HDHD2",0.605932195206874,-0.519532156994081,-0.0614448052727266,7.08153520795455,0.121531509800071,44,0.820580225434403
"CLCN6","16659102","CLCN6",0.6059676362092,-0.519480906040193,-0.0846343973636339,5.70893449740909,0.167414654798449,44,0.820585747827624
"PKNOX2-DT","16745790","PKNOX2-DT",0.606030121794892,-0.519390549504571,-0.0407554159090902,3.08878529559091,0.0806320016529772,44,0.820620413585208
"SUCLG2-DT","16942525","SUCLG2-DT",0.606067218317062,-0.519336908559637,-0.0665286746363627,3.59689096009091,0.13163635193476,44,0.820620413585208
"PRPF39-DT","16792364","PRPF39-DT",0.606087328853407,0.519307829698195,0.0317000887272716,2.564820401,0.0627266020446296,44,0.820620413585208
"LINC02506","16965827","LINC02506",0.606151630397027,-0.519214855774641,-0.0922339610454546,3.58772075565909,0.182540781255356,44,0.820665006867158
"TAS2R4","17052417","TAS2R4",0.60623328114061,-0.519096803127768,-0.06970451181818,3.72512563681818,0.137983987291798,44,0.820683979216341
"A2ML1","16748015","A2ML1",0.606259532240439,0.519058850205668,0.0622415423636369,3.26998513581818,0.123219630045393,44,0.820683979216341
"TKTL1","17108264","TKTL1",0.606259744316368,0.519058543596801,0.0407932542272724,3.67909184056818,0.0807584849688664,44,0.820683979216341
"LINC02569","17006272","LINC02569",0.606329409439764,-0.518957827896912,-0.0352291282727273,3.21575301427273,0.0697567092293942,44,0.820735820196698
"MOSPD3","17049426","MOSPD3",0.606469056669929,0.518755954335844,0.0916750924090914,6.40757481084091,0.181595221635182,44,0.82088237965401
"TMEM72-AS1","16713550","TMEM72-AS1",0.60664356172615,-0.518503720609303,-0.0457198504545455,3.23671248859091,0.0906085288154499,44,0.821076103098804
"MIR3159","17118784","MIR3159",0.606709562090426,0.51840833086176,0.0591112565454557,5.62956666781818,0.117169445368384,44,0.821122955852157
"MFSD2B","16877649","MFSD2B",0.606812553530881,-0.518259487810972,-0.0347079080000006,2.87528939968182,0.068817252713254,44,0.82121610878669
"ASPG","16789377","ASPG",0.606841165237803,-0.518218140292677,-0.0287497175909079,4.91596791397727,0.057008173448764,44,0.82121610878669
"TRUB2","17098848","TRUB2",0.606874144452403,-0.518170482292819,-0.0742694450909092,7.19970316704545,0.147283353559849,44,0.821218263017981
"PRPS1L1","17055599","PRPS1L1",0.606935175813291,0.518082289514388,0.0379214470000004,3.65009563704545,0.0752146275418495,44,0.821258375050628
"SNORD68","17119040","SNORD68",0.606986231715367,0.518008514821696,0.112817768272727,5.65229095672727,0.223798288365597,44,0.821284985602776
"GYS2","16762107","GYS2",0.607113868647832,0.51782409470022,0.0281242465454548,2.40284855331818,0.0558103565040222,44,0.821378647043538
"LINC02049","16957943","LINC02049",0.607118240910219,-0.517817777620369,-0.0302837301818184,2.14143587809091,0.0600964151624899,44,0.821378647043538
"MINDY1","16692918","MINDY1",0.607180628179794,-0.51772764227882,-0.0733185286818188,5.24333903288636,0.145521962437066,44,0.821420576819862
"LINC00430","16775719","LINC00430",0.607230830605494,-0.517655114354356,-0.0505690654090891,5.93535818165909,0.100383093000671,44,0.821446018921574
"LINC02762","16731269","LINC02762",0.607301928387546,0.517552403442635,0.0831017291818181,4.50672023568182,0.164995418752422,44,0.821478823156981
"OR7E47P","16751479","OR7E47P",0.607335843705512,0.517503409871155,0.0430861232727282,2.11338904995455,0.0855540077563725,44,0.821478823156981
"GALNT6","16764758","GALNT6",0.60740099509349,-0.517409296671728,-0.0318925574090922,4.08141814820455,0.0633390103041203,44,0.821478823156981
"CLEC18B|CLEC18C|CLEC18A","16820702","CLEC18B|CLEC18C|CLEC18A",0.607406250315253,0.517401705543969,0.0718370324545443,4.55532728581818,0.142671321013499,44,0.821478823156981
"LRRC56","16720197","LRRC56",0.607412066686858,-0.517393303874863,-0.0385214495000028,4.63315031834091,0.0765064360924783,44,0.821478823156981
"CIMIP1","16915213","CIMIP1",0.607467901611968,-0.517312652978382,-0.0457766290000006,3.1451710505,0.09092993106864,44,0.821511871493024
"MFAP4","16842266","MFAP4",0.607517805548028,-0.517240572007428,-0.181841738272728,5.31994063490909,0.361257727619555,44,0.821536896028459
"POLR1D","16773528","POLR1D",0.607617621477813,0.517096406619776,0.0666384883181799,8.14600736956818,0.132424935983736,44,0.821593002401495
"LSAMP-AS1","16944262","LSAMP-AS1",0.607640071910363,0.517063982685519,0.12580659490909,4.14643354668182,0.250020302154099,44,0.821593002401495
"SDF4","16680098","SDF4",0.607666637164558,-0.517025616652478,-0.0522783697727291,6.62680396570455,0.103902531721276,44,0.821593002401495
"PRM2","16823878","PRM2",0.607699010564316,0.516978863433252,0.0499760529545461,3.87385053447727,0.0993356917710651,44,0.821593002401495
"SLC4A8","16751269","SLC4A8",0.607731636733613,-0.516931746329496,-0.112618159227272,4.39779196106818,0.223867667816681,44,0.821593002401495
"A4GNT","16959623","A4GNT",0.6077477055679,-0.516908540940545,-0.0307867217272726,2.088025156,0.0612020392357438,44,0.821593002401495
"PSPN","16867657","PSPN",0.607786661049029,0.516852285570011,0.0518225610909058,4.54214997295455,0.103031159161531,44,0.821603213623704
"ATP1B1","16673525","ATP1B1",0.607849024222375,-0.516762230755268,-0.13063436618182,7.51206560181818,0.259766314655136,44,0.82164506456676
"PROCR","16913065","PROCR",0.607928465002495,0.516647521388347,0.0643737155454538,5.14849159577273,0.128035493942191,44,0.821709994230783
"LINC01612","16972346","LINC01612",0.607989988946298,-0.516558687976076,-0.0273356061818177,1.76530856918182,0.0543782458127202,44,0.821750701043028
"PKD1|PKD1P4-NPIPA8|PKD1P3-NPIPA1|PKD1P5-LOC105376752","17121348","PKD1|PKD1P4-NPIPA8|PKD1P3-NPIPA1|PKD1P5-LOC105376752",0.608021462455781,0.516513245494043,0.063128641409091,5.33094413670455,0.125591756594233,44,0.821750790004291
"CHRNA4","16921206","CHRNA4",0.608072879864117,-0.516439009690339,-0.0410040232272735,4.32572910211364,0.0815874925494306,44,0.821777832064296
"ZNF337-AS1","16912212","ZNF337-AS1",0.608114315190678,-0.51637918799438,-0.0536066710909093,5.29797978245455,0.106675887202932,44,0.821791381780326
"DLAT","16731169","DLAT",0.608214771596986,0.516234163201744,0.0816272966363618,6.94808422922727,0.162481839309317,44,0.821863951743136
"MIR4715","16806178","MIR4715",0.608230839993974,-0.516210966939799,-0.0556418727727275,3.07854989265909,0.1107619688144,44,0.821863951743136
"GCLC|KILH","17020174","GCLC|KILH",0.608300317702826,0.516110672496064,0.0587867755909084,4.67307838025,0.117045024039046,44,0.821915384857299
"MIR676","17104410","MIR676",0.608416388528835,-0.515943130394343,-0.0699819665454546,2.21914219036364,0.139380000845753,44,0.821981401084864
"FOXG1-AS1","16791535","FOXG1-AS1",0.608438226618298,0.515911609911619,0.0298013015454544,2.15177500336364,0.0593575662023291,44,0.821981401084864
"SLC39A3","16866985","SLC39A3",0.608464662530491,-0.515873453758083,-0.0462022861818179,5.375460644,0.092031487282163,44,0.821981401084864
"POF1B","17112498","POF1B",0.60847484238693,-0.515858760912162,-0.0555095494999995,2.03301206106818,0.110574006753526,44,0.821981401084864
"LRAT","16971660","LRAT",0.608506300372238,0.515813357516388,0.0690829357727272,3.33427754943182,0.137624056814094,44,0.821981457119068
"HYAL2","16954416","HYAL2",0.608572481986678,-0.515717840939863,-0.0435967757727278,4.84023641025,0.0868677096276452,44,0.82202841604024
"IL18R1","16883715","IL18R1",0.608677890057653,-0.515565720673743,-0.0750837783636382,3.96315226109091,0.149650523346982,44,0.822128352458234
