"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"TLE2","204431_at","TLE2",0.051579490173546,2.01722962699713,0.167789835904411,2.54409865581818,0.0862290482798005,33,0.309640026523285
"FBH1","1559561_at","FBH1",0.0515972796948171,2.01706721613838,0.118417994455883,2.11659689851515,0.0608612141751298,33,0.309657812191453
"BANF2","232766_at","BANF2",0.0516259676129141,2.01680541053775,0.0645928243860294,2.12302739478788,0.0332019475076337,33,0.30967789346497
"IPO4","218305_at","IPO4",0.0516383311378728,2.01669262035091,0.0964385636838228,2.99211113757576,0.0495740392077541,33,0.30967789346497
"CACNB1","210185_at","CACNB1",0.0516514663946967,2.01657281564294,0.113166463400736,2.59368520827273,0.0581764366535162,33,0.30967789346497
"DHX57","244784_at","DHX57",0.0516599368365791,2.01649557213023,0.0717885300036762,2.28579929293939,0.036906347721325,33,0.30967789346497
"SNAI2","213139_at","SNAI2",0.0516888983035126,2.01623155077772,0.210331502849264,3.31353787193939,0.108145187994236,33,0.309762594280878
"SSBP1","202591_s_at","SSBP1",0.0517652741195361,-2.01553590545693,-0.0911297509117643,3.94600533924242,0.0468719396073906,33,0.310131310954249
"MON1B","233557_s_at","MON1B",0.0517962908861434,-2.01525365489877,-0.10639788273897,2.90820370006061,0.0547326593062316,33,0.310228143148008
"DCLK1","215303_at","DCLK1",0.0518321145348515,2.01492784572096,0.0600596026764708,2.21117365881818,0.0309005519930434,33,0.310353701852171
"DNAAF10","235071_at","DNAAF10",0.0518666586182796,-2.01461386018904,-0.0812121277389704,2.98514143190909,0.0417899982557409,33,0.310389298659119
"KLHL6","1560397_s_at","KLHL6",0.0518995498651455,-2.01431506770289,-0.0819158617169116,2.07435583390909,0.0421583771022349,33,0.310389298659119
"RIDA","203790_s_at","RIDA",0.0519075020871881,2.01424285251773,0.192018800452206,3.49400616130303,0.0988269068024701,33,0.310389298659119
"STK3","204068_at","STK3",0.0519100595757522,-2.01421962967796,-0.115731538253677,3.3537303280303,0.0595645935968549,33,0.310389298659119
"OTUD7B","1555139_a_at","OTUD7B",0.0519123686960164,2.0141986629628,0.0589315847205887,2.27050598990909,0.0303311654413264,33,0.310389298659119
"ZCRB1","225394_s_at","ZCRB1",0.0519405418151363,-2.0139429178037,-0.117675543496325,3.76878657590909,0.0605734538240429,33,0.310468865429056
"CFAP206","230273_at","CFAP206",0.0519751956798592,-2.01362850896051,-0.0927627036213234,2.21039747524242,0.0477570319533069,33,0.31058711352614
"MTAP","231984_at","MTAP",0.0520340894748681,2.01309459494982,0.0953664312867644,2.76792758069697,0.0491105309942137,33,0.310734673337568
"TNKS2","218228_s_at","TNKS2",0.0520522846552421,2.01292974945667,0.0741020894154403,3.58046069557576,0.0381632292982639,33,0.310734673337568
"CEL","1553970_s_at","CEL",0.0520629421006096,-2.01283321803565,-0.293637624952206,2.47904043378788,0.151233217914415,33,0.310734673337568
"NPC2|MIR4709","200701_at","NPC2|MIR4709",0.0520720373089998,-2.01275085045949,-0.0748998817830886,4.24450328872727,0.0385775279757916,33,0.310734673337568
"SPATS2","218324_s_at","SPATS2",0.0520787219897081,-2.01269032099531,-0.108661687617647,2.99946143048485,0.0559683842078914,33,0.310734673337568
"MTMR14","222143_s_at","MTMR14",0.0520891592700419,-2.01259582548761,-0.0992981658161765,3.19424914330303,0.051147915665116,33,0.310734673337568
"IDH3A","202070_s_at","IDH3A",0.0521463203575024,-2.01207860194271,-0.166395244036766,3.27162110354545,0.0857312681636212,33,0.31092438513438
"ACTR8","222707_s_at","ACTR8",0.052150735988783,-2.01203866759568,-0.0736874762132351,2.75880342560606,0.0379665068218636,33,0.31092438513438
"SLC35F6","219783_at","SLC35F6",0.0521904761152084,-2.01167939629962,-0.0976105571617651,2.87806593533333,0.0503015427764015,33,0.311072515315676
